"cmd","attr","lhs","rhs","verbose","raw","tag","setting_source"
n,,<LeftMouse>,move cursor to the mouse click position(cursor movement command),,"|<LeftMouse>|	<LeftMouse>	1  move cursor to the mouse click position
",<LeftMouse>,builtin
n,,<MiddleMouse>,"same as ""gP"" at the mouse click position(can be undone/redone)",,"|<MiddleMouse>|	<MiddleMouse>	2  same as ""gP"" at the mouse click position
",<MiddleMouse>,builtin
n,,<PageDown>,same as CTRL-F,,"|<PageDown>|	<PageDown>	   same as CTRL-F
",<PageDown>,builtin
n,,<PageUp>,same as CTRL-B,,"|<PageUp>|	<PageUp>	   same as CTRL-B
",<PageUp>,builtin
n,,<Right>,"same as ""l""(cursor movement command)",,"|<Right>|	<Right>		1  same as ""l""
",<Right>,builtin
n,,<RightMouse>,"start Visual mode, move cursor to the mouse click position",,"|<RightMouse>|	<RightMouse>	   start Visual mode, move cursor to the mouse click position
",<RightMouse>,builtin
n,,<S-Down>,same as CTRL-F(cursor movement command),,"|<S-Down>|	<S-Down>	1  same as CTRL-F
",<S-Down>,builtin
n,,<S-Left>,"same as ""b""(cursor movement command)",,"|<S-Left>|	<S-Left>	1  same as ""b""
",<S-Left>,builtin
n,,<S-LeftMouse>,"same as ""*"" at the mouse click position",,"|<S-LeftMouse>|	<S-LeftMouse>	   same as ""*"" at the mouse click position
",<S-LeftMouse>,builtin
n,,<S-Right>,"same as ""w""(cursor movement command)",,"|<S-Right>|	<S-Right>	1  same as ""w""
",<S-Right>,builtin
n,,<S-Up>,same as CTRL-B(cursor movement command),,"|<S-Up>|	<S-Up>		1  same as CTRL-B
",<S-Up>,builtin
n,,<Undo>,"same as ""u""(can be undone/redone)",,"|<Undo>|	<Undo>		2  same as ""u""
",<Undo>,builtin
n,,<Up>,"same as ""k""(cursor movement command)",,"|<Up>|		<Up>		1  same as ""k""
",<Up>,builtin
n,,<ScrollWheelUp>,move window three lines up,,|<ScrollWheelUp>|	<ScrollWheelUp>		move window three lines up,<ScrollWheelUp>,builtin
vo,,"a""",double quoted string(text object),,"|v_aquote|	a""		   double quoted string
",v_aquote,builtin
vo,,a',single quoted string(text object),,"|v_a'|		a'		   single quoted string
",v_a',builtin
vo,,a(,same as ab(text object),,"|v_a(|		a(		   same as ab
",v_a(,builtin
vo,,a),same as ab(text object),,"|v_a)|		a)		   same as ab
",v_a),builtin
vo,,a<,"""a <>"" from '<' to the matching '>'(text object)",,"|v_a<|		a<		   ""a <>"" from '<' to the matching '>'
",v_a<,builtin
vo,,a>,same as a<(text object),,"|v_a>|		a>		   same as a<
",v_a>,builtin
vo,,aB,"""a Block"" from ""[{"" to ""]}"" (with brackets)(text object)",,"|v_aB|		aB		   ""a Block"" from ""[{"" to ""]}"" (with brackets)
",v_aB,builtin
vo,,aW,"""a WORD"" (with white space)(text object)",,"|v_aW|		aW		   ""a WORD"" (with white space)
",v_aW,builtin
vo,,a[,"""a []"" from '[' to the matching ']'(text object)",,"|v_a[|		a[		   ""a []"" from '[' to the matching ']'
",v_a[,builtin
vo,,a],same as a[(text object),,"|v_a]|		a]		   same as a[
",v_a],builtin
vo,,a`,string in backticks(text object),,"|v_a`|		a`		   string in backticks
",v_a`,builtin
vo,,ab,"""a block"" from ""[("" to ""])"" (with braces)(text object)",,"|v_ab|		ab		   ""a block"" from ""[("" to ""])"" (with braces)
",v_ab,builtin
vo,,ap,"""a paragraph"" (with white space)(text object)",,"|v_ap|		ap		   ""a paragraph"" (with white space)
",v_ap,builtin
vo,,as,"""a sentence"" (with white space)(text object)",,"|v_as|		as		   ""a sentence"" (with white space)
",v_as,builtin
vo,,at,"""a tag block"" (with white space)(text object)",,"|v_at|		at		   ""a tag block"" (with white space)
",v_at,builtin
vo,,aw,"""a word"" (with white space)(text object)",,"|v_aw|		aw		   ""a word"" (with white space)
",v_aw,builtin
vo,,a{,same as aB(text object),,"|v_a{|		a{		   same as aB
",v_a{,builtin
vo,,a},same as aB(text object),,"|v_a}|		a}		   same as aB
",v_a},builtin
vo,,"i""",double quoted string without the quotes(text object),,"|v_iquote|	i""		   double quoted string without the quotes
",v_iquote,builtin
vo,,i',single quoted string without the quotes(text object),,"|v_i'|		i'		   single quoted string without the quotes
",v_i',builtin
vo,,i(,same as ib(text object),,"|v_i(|		i(		   same as ib
",v_i(,builtin
vo,,i),same as ib(text object),,"|v_i)|		i)		   same as ib
",v_i),builtin
vo,,i<,"""inner <>"" from '<' to the matching '>'(text object)",,"|v_i<|		i<		   ""inner <>"" from '<' to the matching '>'
",v_i<,builtin
vo,,i>,same as i<(text object),,"|v_i>|		i>		   same as i<
",v_i>,builtin
vo,,iB,"""inner Block"" from ""[{"" and ""]}""(text object)",,"|v_iB|		iB		   ""inner Block"" from ""[{"" and ""]}""
",v_iB,builtin
vo,,iW,"""inner WORD""(text object)",,"|v_iW|		iW		   ""inner WORD""
",v_iW,builtin
vo,,i[,"""inner []"" from '[' to the matching ']'(text object)",,"|v_i[|		i[		   ""inner []"" from '[' to the matching ']'
",v_i[,builtin
vo,,i],same as i[(text object),,"|v_i]|		i]		   same as i[
",v_i],builtin
vo,,i`,string in backticks without the backticks(text object),,"|v_i`|		i`		   string in backticks without the backticks
",v_i`,builtin
vo,,ib,"""inner block"" from ""[("" to ""])""(text object)",,"|v_ib|		ib		   ""inner block"" from ""[("" to ""])""
",v_ib,builtin
vo,,ip,"""inner paragraph""(text object)",,"|v_ip|		ip		   ""inner paragraph""
",v_ip,builtin
vo,,is,"""inner sentence""(text object)",,"|v_is|		is		   ""inner sentence""
",v_is,builtin
vo,,it,"""inner tag block""(text object)",,"|v_it|		it		   ""inner tag block""
",v_it,builtin
vo,,iw,"""inner word""(text object)",,"|v_iw|		iw		   ""inner word""
",v_iw,builtin
vo,,i{,same as iB(text object),,"|v_i{|		i{		   same as iB
",v_i{,builtin
vo,,i},same as iB(text object),,"|v_i}|		i}		   same as iB
",v_i},builtin
n,,<C-w><C-b>,"same as ""CTRL-W b""(window command)",,"|CTRL-W_CTRL-B|	CTRL-W CTRL-B	   same as ""CTRL-W b""
",CTRL-W_CTRL-B,builtin
n,,<C-w><C-c>,"same as ""CTRL-W c""(window command)",,"|CTRL-W_CTRL-C|	CTRL-W CTRL-C	   same as ""CTRL-W c""
",CTRL-W_CTRL-C,builtin
n,,<C-w><C-d>,"same as ""CTRL-W d""(window command)",,"|CTRL-W_CTRL-D|	CTRL-W CTRL-D	   same as ""CTRL-W d""
",CTRL-W_CTRL-D,builtin
n,,<C-w><C-f>,"same as ""CTRL-W f""(window command)",,"|CTRL-W_CTRL-F|	CTRL-W CTRL-F	   same as ""CTRL-W f""
",CTRL-W_CTRL-F,builtin
n,,<C-w><C-g>,"same as ""CTRL-W g ..""(window command)",,"		CTRL-W CTRL-G	   same as ""CTRL-W g ..""
",,builtin
n,,<C-w><C-h>,"same as ""CTRL-W h""(window command)",,"|CTRL-W_CTRL-H|	CTRL-W CTRL-H	   same as ""CTRL-W h""
",CTRL-W_CTRL-H,builtin
n,,<C-w><C-i>,"same as ""CTRL-W i""(window command)",,"|CTRL-W_CTRL-I|	CTRL-W CTRL-I	   same as ""CTRL-W i""
",CTRL-W_CTRL-I,builtin
n,,<C-w><C-j>,"same as ""CTRL-W j""(window command)",,"|CTRL-W_CTRL-J|	CTRL-W CTRL-J	   same as ""CTRL-W j""
",CTRL-W_CTRL-J,builtin
n,,<C-w><C-k>,"same as ""CTRL-W k""(window command)",,"|CTRL-W_CTRL-K|	CTRL-W CTRL-K	   same as ""CTRL-W k""
",CTRL-W_CTRL-K,builtin
n,,<C-w><C-l>,"same as ""CTRL-W l""(window command)",,"|CTRL-W_CTRL-L|	CTRL-W CTRL-L	   same as ""CTRL-W l""
",CTRL-W_CTRL-L,builtin
n,,<C-w><C-n>,"same as ""CTRL-W n""(window command)",,"|CTRL-W_CTRL-N|	CTRL-W CTRL-N	   same as ""CTRL-W n""
",CTRL-W_CTRL-N,builtin
n,,<C-w><C-o>,"same as ""CTRL-W o""(window command)",,"|CTRL-W_CTRL-O|	CTRL-W CTRL-O	   same as ""CTRL-W o""
",CTRL-W_CTRL-O,builtin
n,,<C-w><C-p>,"same as ""CTRL-W p""(window command)",,"|CTRL-W_CTRL-P|	CTRL-W CTRL-P	   same as ""CTRL-W p""
",CTRL-W_CTRL-P,builtin
n,,<C-w><C-q>,"same as ""CTRL-W q""(window command)",,"|CTRL-W_CTRL-Q|	CTRL-W CTRL-Q	   same as ""CTRL-W q""
",CTRL-W_CTRL-Q,builtin
n,,<C-w><C-r>,"same as ""CTRL-W r""(window command)",,"|CTRL-W_CTRL-R|	CTRL-W CTRL-R	   same as ""CTRL-W r""
",CTRL-W_CTRL-R,builtin
n,,<C-w><C-s>,"same as ""CTRL-W s""(window command)",,"|CTRL-W_CTRL-S|	CTRL-W CTRL-S	   same as ""CTRL-W s""
",CTRL-W_CTRL-S,builtin
n,,<C-w><C-t>,"same as ""CTRL-W t""(window command)",,"|CTRL-W_CTRL-T|	CTRL-W CTRL-T	   same as ""CTRL-W t""
",CTRL-W_CTRL-T,builtin
n,,<C-w><C-v>,"same as ""CTRL-W v""(window command)",,"|CTRL-W_CTRL-V|	CTRL-W CTRL-V	   same as ""CTRL-W v""
",CTRL-W_CTRL-V,builtin
n,,<C-w><C-w>,"same as ""CTRL-W w""(window command)",,"|CTRL-W_CTRL-W|	CTRL-W CTRL-W	   same as ""CTRL-W w""
",CTRL-W_CTRL-W,builtin
n,,<C-w><C-x>,"same as ""CTRL-W x""(window command)",,"|CTRL-W_CTRL-X|	CTRL-W CTRL-X	   same as ""CTRL-W x""
",CTRL-W_CTRL-X,builtin
